frequency,variable,count,experiments
Yearly,toa outgoing longwave flux assuming clear sky,5,"midHolocene, lgm, 1pctCO2, abrupt4xCO2, historical, piControl, decadal"
Yearly,downward sea ice basal salt flux,2,"midHolocene, lgm"
Yearly,ocean mixed layer thickness defined by sigma t,4,"midHolocene, lgm, piControl, historical, decadal"
Yearly,air pressure,4,"lgm, midHolocene, historical, rcp85"
Yearly,geopotential height,4,"midHolocene, historical, lgm"
Yearly,large scale snowfall flux,2,"midHolocene, lgm"
Yearly,tendency of air temperature due to advection,2,"midHolocene, lgm"
Yearly,surface downward y stress,4,"midHolocene, lgm, rcp85, historical, rcp45, piControl"
Yearly,ocean volume,3,"midHolocene, lgm, 1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Yearly,sea water salinity,11,"1pctCO2, rcp60, midHolocene, lgm, esmFdbk1, esmFixClim1, rcp26, rcp85, abrupt4xCO2, historical, esmFdbk2, rcp45, piControl"
Yearly,global average sea level change,3,"midHolocene, lgm, 1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Yearly,atmosphere convective mass flux,2,"midHolocene, lgm"
Yearly,sea water potential temperature,12,"1pctCO2, rcp60, midHolocene, lgm, esmFdbk1, esmFixClim1, rcp26, rcp85, abrupt4xCO2, historical, esmFdbk2, rcp45, piControl, decadal"
Yearly,runoff flux,4,"piControl, midHolocene, lgm, amip, rcp85, abrupt4xCO2, historical, esmHistorical, rcp45, 1pctCO2"
Yearly,eastward sea ice velocity,2,"midHolocene, lgm"
Yearly,sea water y velocity,5,"midHolocene, lgm, rcp85, historical, rcp45, piControl"
Yearly,tendency of specific humidity,3,"midHolocene, historical, lgm"
Yearly,tendency of specific humidity due to diffusion,2,"midHolocene, lgm"
Yearly,northward sea ice velocity,2,"midHolocene, lgm"
Yearly,lagrangian tendency of air pressure,2,"midHolocene, lgm"
Yearly,surface downwelling longwave flux in air assuming clear sky,3,"lgm, midHolocene, historical, decadal"
Yearly,northward ocean heat transport due to gyre,3,"midHolocene, lgm, 1pctCO2, rcp85, abrupt4xCO2, historical, rcp45, piControl"
Yearly,surface downward northward stress,2,"midHolocene, lgm"
Yearly,moisture content of soil layer,3,"midHolocene, lgm"
Yearly,mass fraction of cloud liquid water in air,2,"midHolocene, lgm"
Yearly,surface upwelling shortwave flux in air,5,"midHolocene, lgm, 1pctCO2, abrupt4xCO2, historical, piControl, decadal"
Yearly,convective precipitation flux,2,"midHolocene, lgm"
Yearly,surface upward sensible heat flux,4,"lgm, midHolocene, historical, decadal"
Yearly,upwelling longwave flux in air,3,"midHolocene, historical, lgm"
